execution_date,total_executions,avg_executions_per_org,median_executions,percentile_25,percentile_75,percentile_5,percentile_95,org_count,moving_avg_7day
2024-02-04,188304,43,2.0,1.0,8.0,1.0,118.1,4359,188304
2024-02-05,2148173,131,4.0,1.0,51.0,1.0,440.55,16310,1168238
2024-02-06,1711654,105,4.0,1.0,41.0,1.0,284.0,16231,1349377
2024-02-07,2464621,147,4.0,1.0,49.0,1.0,510.0,16761,1628188
2024-02-08,1632666,98,4.0,1.0,42.0,1.0,272.0,16598,1629083
2024-02-09,2327318,133,4.0,1.0,50.0,1.0,426.0,17410,1745456
2024-02-10,2199179,143,3.0,1.0,49.0,1.0,411.7,15374,1810273
2024-02-11,2250336,140,3.0,1.0,49.0,1.0,428.2,16037,2104849
2024-02-12,1920260,111,5.0,1.0,49.0,1.0,293.0,17292,2072290
2024-02-13,2905448,164,5.0,1.0,58.0,1.0,559.0,17690,2242832
2024-02-14,1944382,109,4.0,1.0,51.0,1.0,303.0,17742,2168512
2024-02-15,2360059,134,5.0,1.0,56.0,1.0,399.05,17500,2272426
2024-02-16,2704372,149,5.0,2.0,52.0,1.0,442.6,18049,2326290
2024-02-17,2280771,136,4.0,1.0,51.0,1.0,421.05,16700,2337946
2024-02-18,2283276,136,3.0,1.0,41.0,1.0,249.3,16755,2342652
2024-02-19,2907921,157,5.0,1.0,61.0,1.0,519.95,18442,2483747
2024-02-20,2216903,121,4.0,1.0,51.0,1.0,325.8,18305,2385383
2024-02-21,2655047,141,5.0,1.0,55.0,1.0,436.0,18729,2486907
2024-02-22,2543420,139,5.0,1.0,54.0,1.0,411.0,18275,2513101
2024-02-23,2666295,139,4.0,1.0,52.0,1.0,393.7,19114,2507661
2024-02-24,1914633,109,3.0,1.0,44.0,1.0,247.4,17493,2455356
2024-02-25,3048659,170,4.0,1.0,52.0,1.0,569.25,17916,2564696
2024-02-26,2545577,133,5.0,1.0,51.0,1.0,333.0,19116,2512933
2024-02-27,3415850,182,6.0,1.0,59.0,1.0,403.3,18759,2684211
2024-02-28,2828516,147,5.0,1.0,53.0,1.0,399.0,19148,2708992
2024-02-29,2939220,151,5.0,1.0,54.0,1.0,467.05,19360,2765535
