execution_date,total_executions,avg_executions_per_org,median_executions,percentile_25,percentile_75,percentile_5,percentile_95,org_count,moving_avg_7day
2025-07-01,7669495,106,6.0,2.0,36.0,1.0,253.0,72041,6687417
2025-07-02,6676356,93,4.0,1.0,27.0,1.0,195.0,71774,6591339
2025-07-03,6782891,94,4.0,1.0,28.0,1.0,213.85,71924,6632507
2025-07-04,5677204,80,4.0,1.0,24.0,1.0,195.0,70510,6417367
2025-07-05,5245565,80,3.0,1.0,25.0,1.0,197.0,65228,6326797
2025-07-06,4788460,72,3.0,1.0,23.0,1.0,174.0,66269,6230386
2025-07-07,7297881,99,4.0,1.0,24.0,1.0,204.0,73119,6305407
2025-07-08,6926274,98,4.0,1.0,25.0,1.0,199.0,70071,6199233
2025-07-09,6931365,98,4.0,1.0,26.0,1.0,201.0,70482,6235662
2025-07-10,6508815,92,4.0,1.0,24.0,1.0,203.0,70053,6196509
2025-07-11,6548731,93,4.0,2.0,24.0,1.0,199.0,70266,6321013
2025-07-12,5109738,78,4.0,1.0,25.0,1.0,189.0,64956,6301609
2025-07-13,5080037,77,4.0,1.0,24.0,1.0,199.0,65710,6343263
2025-07-14,6647125,90,4.0,1.0,24.0,1.0,193.0,73296,6250297
2025-07-15,6886706,97,4.0,1.0,25.0,1.0,203.0,70546,6244645
2025-07-16,6837409,95,4.0,2.0,25.0,1.0,201.0,71781,6231223
2025-07-17,6914348,97,4.0,1.0,24.0,1.0,197.0,70955,6289156
2025-07-18,6923046,96,4.0,2.0,24.0,1.0,193.0,71552,6342629
2025-07-19,6258054,95,4.0,1.0,26.0,1.0,201.0,65852,6506675
2025-07-20,4594938,69,3.0,1.0,20.0,1.0,146.0,66084,6437375
2025-07-21,7294972,97,4.0,1.0,24.0,1.0,201.0,75136,6529924
2025-07-22,7212216,101,4.0,1.0,24.0,1.0,198.0,70861,6576426
2025-07-23,6851029,96,4.0,1.0,24.0,1.0,198.0,71191,6578371
2025-07-24,7533298,106,4.0,1.0,24.0,1.0,194.7,70847,6666793
2025-07-25,7637398,108,5.0,1.0,24.0,1.0,208.0,70603,6768843
2025-07-26,6765119,103,4.0,1.0,26.0,1.0,192.0,65354,6841281
2025-07-27,6274071,94,4.0,1.0,24.0,1.0,194.0,66160,7081157
2025-07-28,7876786,103,5.0,1.0,26.0,1.0,203.0,76014,7164273
2025-07-29,8172715,113,5.0,1.0,28.0,1.0,211.0,71856,7301488
2025-07-30,8437060,116,5.0,1.0,29.0,1.0,199.0,72285,7528063
