execution_date,total_executions,avg_executions_per_org,median_executions,percentile_25,percentile_75,percentile_5,percentile_95,org_count,moving_avg_7day
2025-05-01,6303583,98,6.0,2.0,39.0,1.0,244.0,63734,5533846
2025-05-02,5652841,86,4.0,1.0,31.0,1.0,194.0,65299,5572078
2025-05-03,4683792,78,4.0,1.0,31.0,1.0,198.0,60035,5582263
2025-05-04,4533276,76,4.0,1.0,27.0,1.0,196.0,59475,5567754
2025-05-05,6040534,94,5.0,2.0,32.0,1.0,209.0,64151,5559523
2025-05-06,5742185,91,5.0,1.0,35.0,1.0,200.0,63066,5513992
2025-05-07,6000877,93,5.0,2.0,37.0,1.0,221.0,64223,5565298
2025-05-08,5404138,85,5.0,1.0,35.0,1.0,192.0,63155,5436806
2025-05-09,5815866,87,5.0,1.0,35.0,1.0,197.0,66174,5460095
2025-05-10,6222200,101,4.0,1.0,32.0,1.0,194.0,61103,5679868
2025-05-11,4721725,76,4.0,1.0,30.0,1.0,202.0,61347,5706789
2025-05-12,6174761,94,5.0,2.0,36.0,1.0,198.0,65646,5725964
2025-05-13,6545528,102,5.0,1.0,39.0,1.0,226.0,63571,5840727
2025-05-14,6249025,97,5.0,1.0,36.0,1.0,195.0,64382,5876177
2025-05-15,6218887,97,5.0,1.0,36.0,1.0,212.0,64074,5992570
2025-05-16,6036743,90,5.0,1.0,33.0,1.0,194.0,66523,6024124
2025-05-17,5129157,82,4.0,1.0,35.0,1.0,204.0,62000,5867975
2025-05-18,4686172,75,4.0,1.0,28.0,1.0,194.0,61950,5862896
2025-05-19,6651110,100,5.0,2.0,37.0,1.0,220.0,66362,5930946
2025-05-20,6766911,104,5.0,1.0,35.0,1.0,202.0,64702,5962572
2025-05-21,6469906,98,5.0,1.0,37.0,1.0,221.0,65568,5994126
2025-05-22,5981183,92,5.0,1.0,35.0,1.0,217.0,64452,5960168
2025-05-23,6379302,94,5.0,1.0,35.0,1.0,211.0,67295,6009105
2025-05-24,5043214,79,4.0,1.0,31.0,1.0,192.0,63503,5996828
2025-05-25,5367353,85,4.0,1.0,30.0,1.0,211.0,62995,6094139
2025-05-26,5376586,80,5.0,1.0,34.0,1.0,198.0,67189,5912065
2025-05-27,6336870,96,5.0,1.0,33.0,1.0,218.45,65872,5850630
2025-05-28,6441054,96,5.0,1.0,36.0,1.0,229.0,66702,5846508
2025-05-29,6426017,94,5.0,1.0,34.0,1.0,222.0,68281,5910056
2025-05-30,5919367,85,5.0,1.0,31.0,1.0,191.0,69585,5844351
2025-05-31,5238625,81,4.0,1.0,33.0,1.0,217.0,64173,5872267
