execution_date,total_executions,avg_executions_per_org,median_executions,percentile_25,percentile_75,percentile_5,percentile_95,org_count,moving_avg_7day
2025-06-01,5943197,88,4.0,1.0,29.0,1.0,248.0,67149,5954530
2025-06-02,6297620,90,5.0,1.0,33.0,1.0,198.0,69905,6086107
2025-06-03,6251343,91,5.0,1.0,33.0,1.0,229.0,68078,6073889
2025-06-04,5185892,80,4.0,1.0,27.0,1.0,192.0,64048,5894580
2025-06-05,2686056,62,5.0,2.0,22.0,1.0,147.0,43100,5360300
2025-06-06,5151698,74,4.0,1.0,24.0,1.0,174.0,68747,5250633
2025-06-07,5232820,82,5.0,1.0,35.0,1.0,229.0,63498,5249803
2025-06-08,4942814,77,4.0,1.0,27.0,1.0,191.0,63414,5106891
2025-06-09,6434673,92,5.0,1.0,34.0,1.0,219.0,69683,5126470
2025-06-10,6454419,94,5.0,1.0,32.0,1.0,222.75,68246,5155481
2025-06-11,6401647,93,5.0,1.0,34.0,1.0,220.0,68400,5329161
2025-06-12,6000977,87,4.0,1.0,29.0,1.0,199.0,68368,5802721
2025-06-13,6351672,90,5.0,1.0,33.0,1.0,224.0,69920,5974146
2025-06-14,5175659,80,5.0,1.0,35.0,1.0,196.0,64162,5965980
2025-06-15,4957288,76,5.0,1.0,30.0,1.0,202.0,64455,5968047
2025-06-16,6664071,93,5.0,2.0,34.0,1.0,216.0,71511,6000819
2025-06-17,6843980,100,5.0,1.0,36.0,1.0,236.0,67831,6056470
2025-06-18,6796766,98,5.0,1.0,35.0,1.0,206.0,68788,6112916
2025-06-19,6937586,101,5.0,1.0,36.0,1.0,238.0,68381,6246717
2025-06-20,7278528,103,5.0,1.0,33.0,1.0,196.0,70493,6379125
2025-06-21,5425918,83,5.0,1.0,35.0,1.0,215.0,64619,6414876
2025-06-22,5194526,80,4.0,1.0,32.0,1.0,202.0,64708,6448767
2025-06-23,7029968,99,5.0,1.0,36.0,1.0,215.0,70687,6501038
2025-06-24,6603355,95,5.0,1.0,34.0,1.0,200.0,68880,6466663
2025-06-25,7348905,106,5.0,1.0,39.0,1.0,253.0,68962,6545540
2025-06-26,6494714,94,5.0,1.0,30.0,1.0,199.0,68836,6482273
2025-06-27,7183187,101,5.0,1.0,30.0,1.0,216.0,71097,6468653
2025-06-28,5879550,90,5.0,1.0,35.0,1.0,209.0,65235,6533457
2025-06-29,5463342,84,5.0,1.0,31.0,1.0,214.0,64965,6571860
2025-06-30,6772731,95,5.0,1.0,32.0,1.0,200.0,71281,6535112
