execution_date,total_executions,avg_executions_per_org,median_executions,percentile_25,percentile_75,percentile_5,percentile_95,org_count,moving_avg_7day
2024-11-01,4152546,86,5.0,2.0,30.0,1.0,242.0,47841,3686344
2024-11-02,2969569,68,3.0,1.0,20.0,1.0,174.0,43563,3707546
2024-11-03,3212361,74,3.0,1.0,18.0,1.0,187.0,43283,3744871
2024-11-04,4163151,86,5.0,1.0,29.0,1.0,232.0,48060,3750956
2024-11-05,4215038,86,4.0,1.0,27.0,1.0,218.0,48604,3787207
2024-11-06,4448567,93,4.0,2.0,28.0,1.0,206.0,47806,3898243
2024-11-07,4084187,85,4.0,1.0,28.0,1.0,227.0,47901,3892202
2024-11-08,3930469,80,4.0,2.0,26.0,1.0,194.0,48901,3860477
2024-11-09,3456913,74,3.0,1.0,20.0,1.0,188.0,46416,3930098
2024-11-10,3384000,73,3.0,1.0,15.0,1.0,181.0,46072,3954617
2024-11-11,4558099,93,4.0,2.0,29.0,1.0,229.35,48974,4011039
2024-11-12,3986819,81,4.0,1.0,25.0,1.0,194.0,49038,3978436
2024-11-13,4328101,88,4.0,1.0,29.0,1.0,240.0,48871,3961226
2024-11-14,3732868,76,4.0,2.0,26.0,1.0,187.0,48774,3911038
2024-11-15,4054065,82,4.0,1.0,26.0,1.0,199.0,49294,3928695
2024-11-16,3047417,64,3.0,1.0,18.0,1.0,162.0,47007,3870195
2024-11-17,3069666,68,3.0,1.0,16.0,1.0,179.0,44927,3825290
2024-11-18,4188343,84,4.0,2.0,28.0,1.0,196.0,49528,3772468
2024-11-19,4156273,81,4.0,1.0,26.0,1.0,217.1,50719,3796676
2024-11-20,4075945,83,4.0,1.0,29.0,1.0,208.0,48647,3760653
2024-11-21,4125850,84,4.0,2.0,27.0,1.0,223.3,48995,3816794
2024-11-22,4219393,84,4.0,2.0,28.0,1.0,220.0,49891,3840412
2024-11-23,3116911,66,3.0,1.0,20.0,1.0,185.0,47180,3850340
2024-11-24,3000172,64,3.0,1.0,13.0,1.0,163.0,46749,3840412
2024-11-25,4518234,90,5.0,2.0,31.0,1.0,247.0,49881,3887539
2024-11-26,4063653,82,4.0,2.0,27.0,1.0,201.0,49465,3874308
2024-11-27,4155551,84,4.0,2.0,29.0,1.0,224.0,49055,3885680
2024-11-28,3594632,73,4.0,2.0,26.0,1.0,202.0,49001,3809792
2024-11-29,4176505,83,4.0,2.0,26.0,1.0,210.0,50139,3803665
2024-11-30,3565719,75,3.0,1.0,18.0,1.0,159.0,47254,3867780
