execution_date,total_executions,avg_executions_per_org,median_executions,percentile_25,percentile_75,percentile_5,percentile_95,org_count,moving_avg_7day
2024-03-01,2692375,133,6.0,2.0,58.0,1.0,398.0,20158,2769261
2024-03-02,2363980,130,15.0,1.0,66.0,1.0,461.0,18061,2833453
2024-03-03,2890515,159,18.0,2.0,79.0,1.0,544.0,18168,2810861
2024-03-04,3282936,164,25.0,2.0,83.0,1.0,489.0,19981,2916198
2024-03-05,3168439,158,7.0,2.0,59.0,1.0,457.0,20003,2880854
2024-03-06,2434185,121,6.0,1.0,52.0,1.0,278.0,19958,2824521
2024-03-07,3247555,159,6.0,1.0,57.0,1.0,516.0,20408,2868569
2024-03-08,2086739,101,6.0,2.0,51.0,1.0,268.55,20630,2782049
2024-03-09,2335158,122,4.0,1.0,50.0,1.0,368.0,19099,2777932
2024-03-10,2190544,115,5.0,1.0,51.0,1.0,325.0,19013,2677936
2024-03-11,3022333,144,8.0,2.0,58.0,1.0,457.0,20924,2640707
2024-03-12,2564416,124,8.0,2.0,52.0,1.0,279.5,20571,2554418
2024-03-13,3061296,146,8.0,2.0,60.0,1.0,464.0,20876,2644005
2024-03-14,2043243,99,5.0,1.0,49.0,1.0,243.0,20495,2471961
2024-03-15,1662613,81,3.0,1.0,24.0,1.0,185.0,20397,2411371
2024-03-16,2088803,103,4.0,1.0,41.0,1.0,245.0,20205,2376178
2024-03-17,1563425,77,3.0,1.0,26.0,1.0,146.0,20064,2286589
2024-03-18,2033441,98,7.0,1.0,51.0,1.0,271.0,20660,2145319
2024-03-19,3468584,160,8.0,2.0,61.0,1.0,514.0,21631,2274486
2024-03-20,2063929,94,6.0,2.0,51.0,1.0,246.0,21876,2132005
2024-03-21,3049677,139,6.0,2.0,57.0,1.0,408.0,21891,2275781
2024-03-22,2565416,115,6.0,2.0,50.0,1.0,278.65,22248,2404753
2024-03-23,2253928,109,5.0,1.0,50.0,1.0,313.0,20584,2428342
2024-03-24,1532617,75,4.0,1.0,44.0,1.0,177.95,20382,2423941
2024-03-25,3330294,148,6.0,2.0,54.0,1.0,429.0,22353,2609206
2024-03-26,2112871,95,6.0,2.0,50.0,1.0,248.0,22128,2415533
2024-03-27,2687575,121,6.0,2.0,52.25,1.0,324.0,22092,2504625
2024-03-28,2704395,121,5.0,2.0,51.0,1.0,304.0,22241,2455299
2024-03-29,3094384,136,5.0,2.0,51.0,1.0,302.0,22728,2530866
2024-03-30,1595622,76,4.0,1.0,41.0,1.0,164.0,20979,2436822
2024-03-31,3136928,147,4.0,1.0,50.0,1.0,408.85,21204,2666009
