execution_date,total_executions,avg_executions_per_org,median_executions,percentile_25,percentile_75,percentile_5,percentile_95,org_count,moving_avg_7day
2025-04-01,6416684,102,6.0,2.0,37.0,1.0,250.0,62311,5160340
2025-04-02,5212155,83,4.0,1.0,32.0,1.0,189.0,62398,5151233
2025-04-03,5257203,84,4.0,1.0,32.0,1.0,200.0,62315,5152989
2025-04-04,5053190,80,4.0,1.0,31.0,1.0,191.0,63006,5130348
2025-04-05,4288788,73,4.0,1.0,32.0,1.0,197.0,58643,5127757
2025-04-06,3977227,68,3.0,1.0,24.0,1.0,176.0,58442,5139676
2025-04-07,5764641,93,5.0,1.0,39.0,1.0,239.0,61772,5138555
2025-04-08,5278767,86,5.0,1.0,36.0,1.0,205.0,60874,4975995
2025-04-09,5591767,90,4.0,1.0,38.0,1.0,219.0,61461,5030226
2025-04-10,5291446,86,5.0,1.0,34.0,1.0,206.0,61203,5035118
2025-04-11,5361445,86,5.0,1.0,34.0,1.0,213.0,61644,5079154
2025-04-12,4201532,71,4.0,1.0,30.0,1.0,180.0,58382,5066689
2025-04-13,4493912,77,4.0,1.0,30.0,1.0,212.0,58146,5140501
2025-04-14,5391709,85,5.0,1.0,35.0,1.0,200.0,62871,5087225
2025-04-15,5698267,92,5.0,1.0,36.0,1.0,216.0,61829,5147154
2025-04-16,5581224,90,5.0,1.0,38.0,1.0,213.8,61565,5145647
2025-04-17,5631328,92,5.0,1.0,38.0,1.0,201.0,61167,5194202
2025-04-18,5171106,81,4.0,1.0,33.0,1.0,193.0,63561,5167011
2025-04-19,5098676,86,4.0,1.0,37.0,1.0,202.0,58963,5295174
2025-04-20,4137374,70,3.0,1.0,29.0,1.0,189.0,58920,5244240
2025-04-21,5660504,89,5.0,1.0,39.0,1.0,202.0,63363,5282639
2025-04-22,5561498,89,5.0,1.0,37.0,1.0,198.0,61901,5263101
2025-04-23,5749585,91,5.0,1.0,40.0,1.0,203.0,62692,5287153
2025-04-24,5070123,81,4.0,1.0,42.0,1.0,184.0,61886,5206980
2025-04-25,5385220,83,5.0,1.0,34.0,1.0,191.0,64137,5237568
2025-04-26,4612498,77,4.0,1.0,35.0,1.0,188.0,59587,5168114
2025-04-27,4634835,77,4.0,1.0,29.0,1.0,196.0,59549,5239180
2025-04-28,6098152,95,5.0,1.0,39.0,1.0,210.0,64095,5301701
2025-04-29,6060906,96,5.0,1.0,39.0,1.0,222.0,62754,5373045
2025-04-30,5641734,88,4.0,1.0,35.0,1.0,197.0,63429,5357638
