execution_date,total_executions,avg_executions_per_org,median_executions,percentile_25,percentile_75,percentile_5,percentile_95,org_count,moving_avg_7day
2024-04-01,3875407,166,8.0,2.0,57.0,1.0,456.0,23344,2743883
2024-04-02,2285111,101,5.0,2.0,45.0,1.0,229.0,22528,2768488
2024-04-03,2547481,116,5.0,2.0,49.0,1.0,280.0,21889,2748475
2024-04-04,2513067,115,5.0,2.0,49.0,1.0,288.0,21771,2721142
2024-04-05,2793177,119,5.0,2.0,47.0,1.0,318.85,23404,2678113
2024-04-06,1738520,80,4.0,1.0,37.0,1.0,186.0,21496,2698527
2024-04-07,3091148,142,4.0,1.0,45.0,1.0,391.9,21623,2691987
2024-04-08,2215136,94,5.0,2.0,46.0,1.0,233.3,23495,2454805
2024-04-09,2955805,128,5.0,2.0,49.0,1.0,326.0,22956,2550619
2024-04-10,2807851,122,4.0,2.0,41.0,1.0,326.0,22937,2587814
2024-04-11,2705164,119,4.0,2.0,40.0,1.0,345.0,22598,2615257
2024-04-12,1836706,78,4.0,2.0,28.0,1.0,197.55,23390,2478618
2024-04-13,2719901,126,4.0,2.0,31.0,1.0,369.0,21432,2618815
2024-04-14,1529992,72,3.0,1.0,17.0,1.0,185.0,20978,2395793
2024-04-15,2807187,117,6.0,2.0,46.0,1.0,324.25,23836,2480372
2024-04-16,2676609,115,4.0,2.0,37.0,1.0,332.0,23103,2440487
2024-04-17,2630926,111,5.0,2.0,41.0,1.0,316.0,23532,2415212
2024-04-18,1992055,86,4.0,2.0,30.0,1.0,214.0,23033,2313339
2024-04-19,3372749,139,4.0,2.0,36.0,1.0,361.85,24264,2532774
2024-04-20,1626908,73,3.0,2.0,25.0,1.0,181.0,22102,2376632
2024-04-21,2158060,100,3.0,1.0,19.0,1.0,282.0,21553,2466356
2024-04-22,2938407,121,4.0,2.0,37.0,1.0,318.0,24168,2485102
2024-04-23,2916793,127,4.0,2.0,39.0,1.0,329.2,22877,2519414
2024-04-24,2558413,107,4.0,2.0,33.0,1.0,226.0,23856,2509055
2024-04-25,3731468,157,5.0,2.0,41.0,1.0,393.15,23658,2757542
2024-04-26,2273310,91,4.0,2.0,31.0,1.0,224.85,24924,2600479
2024-04-27,2090156,93,3.0,2.0,26.0,1.0,270.0,22301,2666658
2024-04-28,2164731,98,3.0,2.0,19.0,1.0,262.0,22087,2667611
2024-04-29,2986388,118,5.0,2.0,40.0,1.0,319.0,25262,2674465
2024-04-30,2393604,96,4.0,2.0,31.0,1.0,224.0,24702,2599724
